iter	Passed	Remaining
0	1	147
1	2	145
2	4	137
3	5	120
4	6	119
5	7	120
6	9	121
7	10	124
8	12	125
9	13	123
10	15	124
11	16	121
12	18	121
13	19	119
14	21	119
15	22	119
16	23	116
17	25	115
18	27	115
19	28	114
20	29	112
21	31	112
22	33	111
23	34	110
24	36	108
25	37	107
26	39	105
27	40	104
28	41	102
29	43	100
30	44	99
31	46	97
32	47	96
33	48	94
34	50	93
35	51	91
36	52	90
37	54	88
38	55	87
39	57	85
40	58	83
41	59	81
42	60	80
43	61	78
44	63	77
45	64	75
46	65	73
47	66	72
48	67	70
49	68	68
50	69	66
51	70	65
52	71	63
53	72	61
54	73	59
55	74	58
56	75	56
57	76	55
58	77	53
59	78	52
60	79	50
61	80	49
62	81	47
63	82	46
64	83	45
65	84	43
66	85	42
67	86	40
68	87	39
69	88	38
70	90	36
71	91	35
72	92	34
73	93	32
74	94	31
75	95	30
76	96	28
77	97	27
78	98	26
79	99	24
80	100	23
81	101	22
82	103	21
83	104	19
84	105	18
85	106	17
86	107	16
87	108	14
88	109	13
89	110	12
90	111	11
91	112	9
92	113	8
93	114	7
94	115	6
95	116	4
96	117	3
97	118	2
98	119	1
99	120	0
