iter	Passed	Remaining
0	137	137043
1	139	69402
2	141	47025
3	142	35590
4	143	28648
5	145	24030
6	146	20772
7	147	18317
8	148	16396
9	149	14849
10	151	13598
11	152	12554
12	153	11674
13	155	10932
14	156	10300
15	158	9719
16	159	9201
17	160	8745
18	161	8338
19	162	7973
20	163	7641
21	165	7336
22	166	7060
23	167	6808
24	168	6580
25	169	6367
26	171	6171
27	172	5983
28	173	5808
29	174	5648
30	176	5503
31	177	5363
32	178	5227
33	179	5102
34	180	4978
35	181	4867
36	182	4762
37	184	4666
38	185	4576
39	186	4485
40	188	4397
41	189	4313
42	190	4235
43	191	4161
44	192	4091
45	194	4033
46	195	3966
47	197	3908
48	198	3850
49	199	3793
50	200	3738
51	202	3683
52	203	3631
53	204	3578
54	205	3528
55	206	3481
56	207	3435
57	208	3389
58	209	3345
59	211	3311
60	212	3271
61	213	3234
62	215	3198
63	216	3162
64	217	3127
65	218	3094
66	219	3059
67	220	3026
68	221	2995
69	223	2963
70	224	2933
71	225	2908
72	226	2882
73	228	2857
74	229	2830
75	230	2803
76	231	2777
77	232	2751
78	233	2725
79	234	2701
80	236	2679
81	237	2655
82	237	2627
83	238	2606
84	240	2584
85	241	2563
86	242	2543
87	243	2525
88	244	2504
89	245	2485
90	246	2465
91	247	2446
92	249	2429
93	250	2410
94	251	2392
95	252	2375
96	253	2359
97	254	2342
98	255	2326
99	257	2316
100	258	2301
101	259	2286
102	260	2271
103	262	2261
104	263	2247
105	264	2233
106	265	2219
107	267	2207
108	268	2193
109	269	2180
110	271	2172
111	272	2159
112	273	2147
113	274	2134
114	275	2121
115	276	2109
116	277	2095
117	278	2084
118	280	2073
119	281	2062
120	282	2051
121	283	2039
122	284	2028
123	285	2018
124	286	2006
125	287	1997
126	288	1985
127	289	1975
128	291	1965
129	292	1955
130	293	1945
131	294	1936
132	295	1926
133	296	1917
134	297	1908
135	298	1898
136	300	1889
137	301	1880
138	302	1871
139	303	1863
140	304	1855
141	305	1844
142	306	1835
143	307	1827
144	308	1818
145	309	1810
146	310	1803
147	311	1795
148	312	1787
149	314	1780
150	315	1772
151	316	1764
152	317	1758
153	319	1756
154	320	1748
155	322	1742
